,DUID,BIDTYPE,CAPACITYBAND,BID,INDEX,PRICE,DISPATCHED
0,APD01,RAISE5MIN,BANDAVAIL1,10,0,0.0,10.0
1,APD01,RAISE60SEC,BANDAVAIL1,10,1,0.0,10.0
2,APD01,RAISE6SEC,BANDAVAIL1,10,2,0.0,8.0
3,BLOWERNG,ENERGY,BANDAVAIL1,80,3,-981.5,66.0
4,BLUFF1,ENERGY,BANDAVAIL1,53,4,-986.3,18.114
5,BOCORWF1,ENERGY,BANDAVAIL1,113,5,-973.88,88.774
6,BROKENH1,ENERGY,BANDAVAIL1,53,6,-1122.0,9.429
7,BW01,ENERGY,BANDAVAIL1,300,7,-959.0,300.0
8,BW01,LOWER5MIN,BANDAVAIL1,3,8,0.01,3.0
9,BW01,LOWER60SEC,BANDAVAIL1,3,9,0.01,3.0
10,BW01,LOWER6SEC,BANDAVAIL1,3,10,0.01,3.0
11,BW01,LOWERREG,BANDAVAIL1,5,11,0.01,5.0
12,BW01,RAISE5MIN,BANDAVAIL1,16,12,0.01,16.0
13,BW01,RAISE60SEC,BANDAVAIL1,13,13,0.01,12.110092
14,BW01,RAISE6SEC,BANDAVAIL1,13,14,0.01,12.110092
15,BW01,RAISEREG,BANDAVAIL1,8,15,7.4,0.0
16,BW02,ENERGY,BANDAVAIL1,300,16,-959.0,300.0
17,BW02,LOWER5MIN,BANDAVAIL1,3,17,0.01,3.0
18,BW02,LOWER60SEC,BANDAVAIL1,3,18,0.01,3.0
19,BW02,LOWER6SEC,BANDAVAIL1,3,19,0.01,3.0
20,BW02,LOWERREG,BANDAVAIL1,5,20,0.01,5.0
21,BW02,RAISE5MIN,BANDAVAIL1,16,21,0.01,16.0
22,BW02,RAISE60SEC,BANDAVAIL1,13,22,0.01,12.110092
23,BW02,RAISE6SEC,BANDAVAIL1,13,23,0.01,12.110092
24,BW02,RAISEREG,BANDAVAIL1,8,24,7.4,0.0
25,BW03,ENERGY,BANDAVAIL1,340,25,-960.3,340.0
26,BW03,LOWER5MIN,BANDAVAIL1,3,26,0.01,3.0
27,BW03,LOWER60SEC,BANDAVAIL1,3,27,0.01,3.0
28,BW03,LOWER6SEC,BANDAVAIL1,3,28,0.01,3.0
29,BW03,LOWERREG,BANDAVAIL1,5,29,0.01,5.0
30,BW03,RAISE5MIN,BANDAVAIL1,16,30,0.01,16.0
31,BW03,RAISE60SEC,BANDAVAIL1,13,31,0.01,13.0
32,BW03,RAISE6SEC,BANDAVAIL1,13,32,0.01,13.0
33,BW03,RAISEREG,BANDAVAIL1,8,33,7.4,0.0
34,BW04,ENERGY,BANDAVAIL1,320,34,-960.3,320.0
35,BW04,LOWER5MIN,BANDAVAIL1,3,35,0.01,3.0
36,BW04,LOWER60SEC,BANDAVAIL1,3,36,0.01,3.0
37,BW04,LOWER6SEC,BANDAVAIL1,3,37,0.01,3.0
38,BW04,LOWERREG,BANDAVAIL1,5,38,0.01,5.0
39,BW04,RAISE5MIN,BANDAVAIL1,16,39,0.01,10.0
40,BW04,RAISE60SEC,BANDAVAIL1,13,40,0.01,6.0550459
41,BW04,RAISE6SEC,BANDAVAIL1,13,41,0.01,6.0550459
42,BW04,RAISEREG,BANDAVAIL1,8,42,7.4,0.0
43,CALL_B_2,ENERGY,BANDAVAIL1,140,43,-945.6,140.0
44,CLEMGPWF,ENERGY,BANDAVAIL1,57,44,-982.2,9.596
45,CPP_3,ENERGY,BANDAVAIL1,406,45,-941.0,406.0
46,CPP_4,ENERGY,BANDAVAIL1,406,46,-941.0,406.0
47,CPSA,ENERGY,BANDAVAIL1,140,47,-964.0,140.0
48,DDPS1,ENERGY,BANDAVAIL1,360,48,-954.9,360.0
49,ER01,ENERGY,BANDAVAIL1,210,49,-982.9,210.0
50,ER01,LOWER5MIN,BANDAVAIL1,15,50,0.01,6.71358
51,ER01,LOWER60SEC,BANDAVAIL1,6,51,0.01,6.0
52,ER01,LOWER6SEC,BANDAVAIL1,1,52,0.01,1.0
53,ER01,LOWERREG,BANDAVAIL1,5,53,0.01,5.0
54,ER01,RAISE5MIN,BANDAVAIL1,18,54,0.01,18.0
55,ER01,RAISE60SEC,BANDAVAIL1,15,55,0.01,15.0
56,ER01,RAISE6SEC,BANDAVAIL1,15,56,0.01,15.0
57,ER01,RAISEREG,BANDAVAIL1,3,57,0.01,3.0
58,ER02,ENERGY,BANDAVAIL1,210,58,-982.9,210.0
59,ER02,LOWER5MIN,BANDAVAIL1,15,59,0.01,15.0
60,ER02,LOWER60SEC,BANDAVAIL1,6,60,0.01,6.0
61,ER02,LOWER6SEC,BANDAVAIL1,1,61,0.01,1.0
62,ER02,LOWERREG,BANDAVAIL1,5,62,0.01,5.0
63,ER02,RAISE5MIN,BANDAVAIL1,18,63,0.01,18.0
64,ER02,RAISE60SEC,BANDAVAIL1,15,64,0.01,15.0
65,ER02,RAISE6SEC,BANDAVAIL1,15,65,0.01,15.0
66,ER02,RAISEREG,BANDAVAIL1,3,66,0.01,3.0
67,ER03,ENERGY,BANDAVAIL1,210,67,-984.6,210.0
68,ER03,LOWER5MIN,BANDAVAIL1,15,68,0.01,15.0
69,ER03,LOWER60SEC,BANDAVAIL1,6,69,0.01,6.0
70,ER03,LOWER6SEC,BANDAVAIL1,1,70,0.01,1.0
71,ER03,RAISE5MIN,BANDAVAIL1,18,71,0.01,18.0
72,ER03,RAISE60SEC,BANDAVAIL1,15,72,0.01,15.0
