,INTERCONNECTORID,DIRECTION,REGIONID,BIDTYPE,LOSSSEGMENT,MWBREAKPOINT,INDEX,MEANVALUE,UPPERBOUND,LHSCOEFFICIENTS,RHSCONSTANT,ROWINDEX,FROMREGIONLOSSSHARE,DISPATCHED
0,N-Q-MNSP1,REGIONFROM,NSW1,ENERGY,34,0,1579,0.0,0.0,-1.0530920000000001,7135.9,4386,0.52,0.0
1,N-Q-MNSP1,REGIONTO,QLD1,ENERGY,34,0,1579,0.0,0.0,0.950992,6037.44,4387,0.52,0.0
2,N-Q-MNSP1,REGIONFROM,NSW1,ENERGY,35,9,1580,4.5,9.0,-1.058024486,7135.9,4386,0.52,0.0
3,N-Q-MNSP1,REGIONTO,QLD1,ENERGY,35,9,1580,4.5,9.0,0.946438936,6037.44,4387,0.52,0.0
4,N-Q-MNSP1,REGIONFROM,NSW1,ENERGY,36,17,1581,13.0,8.0,-1.067341404,7135.9,4386,0.52,0.0
5,N-Q-MNSP1,REGIONTO,QLD1,ENERGY,36,17,1581,13.0,8.0,0.937838704,6037.44,4387,0.52,0.0
6,N-Q-MNSP1,REGIONFROM,NSW1,ENERGY,37,25,1582,21.0,8.0,-1.076110268,7135.9,4386,0.52,0.0
7,N-Q-MNSP1,REGIONTO,QLD1,ENERGY,37,25,1582,21.0,8.0,0.9297443679999999,6037.44,4387,0.52,0.0
8,N-Q-MNSP1,REGIONFROM,NSW1,ENERGY,38,33,1583,29.0,8.0,-1.084879132,7135.9,4386,0.52,0.0
9,N-Q-MNSP1,REGIONTO,QLD1,ENERGY,38,33,1583,29.0,8.0,0.921650032,6037.44,4387,0.52,0.0
10,N-Q-MNSP1,REGIONFROM,NSW1,ENERGY,39,41,1584,37.0,8.0,-1.093647996,7135.9,4386,0.52,0.0
11,N-Q-MNSP1,REGIONTO,QLD1,ENERGY,39,41,1584,37.0,8.0,0.913555696,6037.44,4387,0.52,0.0
12,N-Q-MNSP1,REGIONFROM,NSW1,ENERGY,40,49,1585,45.0,8.0,-1.10241686,7135.9,4386,0.52,0.0
13,N-Q-MNSP1,REGIONTO,QLD1,ENERGY,40,49,1585,45.0,8.0,0.90546136,6037.44,4387,0.52,0.0
14,N-Q-MNSP1,REGIONFROM,NSW1,ENERGY,41,57,1586,53.0,8.0,-1.111185724,7135.9,4386,0.52,0.0
15,N-Q-MNSP1,REGIONTO,QLD1,ENERGY,41,57,1586,53.0,8.0,0.897367024,6037.44,4387,0.52,0.0
16,N-Q-MNSP1,REGIONFROM,NSW1,ENERGY,42,65,1587,61.0,8.0,-1.119954588,7135.9,4386,0.52,0.0
17,N-Q-MNSP1,REGIONTO,QLD1,ENERGY,42,65,1587,61.0,8.0,0.889272688,6037.44,4387,0.52,0.0
18,N-Q-MNSP1,REGIONFROM,NSW1,ENERGY,43,73,1588,69.0,8.0,-1.128723452,7135.9,4386,0.52,0.0
19,N-Q-MNSP1,REGIONTO,QLD1,ENERGY,43,73,1588,69.0,8.0,0.881178352,6037.44,4387,0.52,0.0
20,N-Q-MNSP1,REGIONFROM,NSW1,ENERGY,44,81,1589,77.0,8.0,-1.1374923160000001,7135.9,4386,0.52,0.0
21,N-Q-MNSP1,REGIONTO,QLD1,ENERGY,44,81,1589,77.0,8.0,0.873084016,6037.44,4387,0.52,0.0
22,N-Q-MNSP1,REGIONFROM,NSW1,ENERGY,45,89,1590,85.0,8.0,-1.14626118,7135.9,4386,0.52,0.0
23,N-Q-MNSP1,REGIONTO,QLD1,ENERGY,45,89,1590,85.0,8.0,0.86498968,6037.44,4387,0.52,0.0
24,N-Q-MNSP1,REGIONFROM,NSW1,ENERGY,46,97,1591,93.0,8.0,-1.155030044,7135.9,4386,0.52,0.0
25,N-Q-MNSP1,REGIONTO,QLD1,ENERGY,46,97,1591,93.0,8.0,0.856895344,6037.44,4387,0.52,0.0
26,N-Q-MNSP1,REGIONFROM,NSW1,ENERGY,47,105,1592,101.0,8.0,-1.163798908,7135.9,4386,0.52,0.0
