,INTERCONNECTORID,DIRECTION,REGIONID,BIDTYPE,LOSSSEGMENT,MWBREAKPOINT,INDEX,MEANVALUE,UPPERBOUND,LHSCOEFFICIENTS,RHSCONSTANT,ROWINDEX,FROMREGIONLOSSSHARE,DISPATCHED
0,N-Q-MNSP1,REGIONFROM,NSW1,ENERGY,34,0,1712,0.0,0.0,-1.0530920000000001,7723.76,4362,0.52,0.0
1,N-Q-MNSP1,REGIONTO,QLD1,ENERGY,34,0,1712,0.0,0.0,0.950992,6486.98,4363,0.52,0.0
2,N-Q-MNSP1,REGIONFROM,NSW1,ENERGY,35,9,1713,4.5,9.0,-1.058024486,7723.76,4362,0.52,0.0
3,N-Q-MNSP1,REGIONTO,QLD1,ENERGY,35,9,1713,4.5,9.0,0.946438936,6486.98,4363,0.52,0.0
4,N-Q-MNSP1,REGIONFROM,NSW1,ENERGY,36,17,1714,13.0,8.0,-1.067341404,7723.76,4362,0.52,0.0
5,N-Q-MNSP1,REGIONTO,QLD1,ENERGY,36,17,1714,13.0,8.0,0.937838704,6486.98,4363,0.52,0.0
6,N-Q-MNSP1,REGIONFROM,NSW1,ENERGY,37,25,1715,21.0,8.0,-1.076110268,7723.76,4362,0.52,0.0
7,N-Q-MNSP1,REGIONTO,QLD1,ENERGY,37,25,1715,21.0,8.0,0.9297443679999999,6486.98,4363,0.52,0.0
8,N-Q-MNSP1,REGIONFROM,NSW1,ENERGY,38,33,1716,29.0,8.0,-1.084879132,7723.76,4362,0.52,0.0
9,N-Q-MNSP1,REGIONTO,QLD1,ENERGY,38,33,1716,29.0,8.0,0.921650032,6486.98,4363,0.52,0.0
10,N-Q-MNSP1,REGIONFROM,NSW1,ENERGY,39,41,1717,37.0,8.0,-1.093647996,7723.76,4362,0.52,0.0
11,N-Q-MNSP1,REGIONTO,QLD1,ENERGY,39,41,1717,37.0,8.0,0.913555696,6486.98,4363,0.52,0.0
12,N-Q-MNSP1,REGIONFROM,NSW1,ENERGY,40,49,1718,45.0,8.0,-1.10241686,7723.76,4362,0.52,0.0
13,N-Q-MNSP1,REGIONTO,QLD1,ENERGY,40,49,1718,45.0,8.0,0.90546136,6486.98,4363,0.52,0.0
14,N-Q-MNSP1,REGIONFROM,NSW1,ENERGY,41,57,1719,53.0,8.0,-1.111185724,7723.76,4362,0.52,0.0
15,N-Q-MNSP1,REGIONTO,QLD1,ENERGY,41,57,1719,53.0,8.0,0.897367024,6486.98,4363,0.52,0.0
16,N-Q-MNSP1,REGIONFROM,NSW1,ENERGY,42,65,1720,61.0,8.0,-1.119954588,7723.76,4362,0.52,0.0
17,N-Q-MNSP1,REGIONTO,QLD1,ENERGY,42,65,1720,61.0,8.0,0.889272688,6486.98,4363,0.52,0.0
18,N-Q-MNSP1,REGIONFROM,NSW1,ENERGY,43,73,1721,69.0,8.0,-1.128723452,7723.76,4362,0.52,0.0
19,N-Q-MNSP1,REGIONTO,QLD1,ENERGY,43,73,1721,69.0,8.0,0.881178352,6486.98,4363,0.52,0.0
20,N-Q-MNSP1,REGIONFROM,NSW1,ENERGY,44,81,1722,77.0,8.0,-1.1374923160000001,7723.76,4362,0.52,0.0
21,N-Q-MNSP1,REGIONTO,QLD1,ENERGY,44,81,1722,77.0,8.0,0.873084016,6486.98,4363,0.52,0.0
22,N-Q-MNSP1,REGIONFROM,NSW1,ENERGY,45,89,1723,85.0,8.0,-1.14626118,7723.76,4362,0.52,0.0
23,N-Q-MNSP1,REGIONTO,QLD1,ENERGY,45,89,1723,85.0,8.0,0.86498968,6486.98,4363,0.52,0.0
24,N-Q-MNSP1,REGIONFROM,NSW1,ENERGY,46,97,1724,93.0,8.0,-1.155030044,7723.76,4362,0.52,0.0
25,N-Q-MNSP1,REGIONTO,QLD1,ENERGY,46,97,1724,93.0,8.0,0.856895344,6486.98,4363,0.52,0.0
26,N-Q-MNSP1,REGIONFROM,NSW1,ENERGY,47,105,1725,101.0,8.0,-1.163798908,7723.76,4362,0.52,0.0
27,N-Q-MNSP1,REGIONTO,QLD1,ENERGY,47,105,1725,101.0,8.0,0.8488010079999999,6486.98,4363,0.52,0.0
28,N-Q-MNSP1,REGIONFROM,NSW1,ENERGY,48,113,1726,109.0,8.0,-1.172567772,7723.76,4362,0.52,0.0
29,N-Q-MNSP1,REGIONTO,QLD1,ENERGY,48,113,1726,109.0,8.0,0.840706672,6486.98,4363,0.52,0.0
30,N-Q-MNSP1,REGIONFROM,NSW1,ENERGY,49,121,1727,117.0,8.0,-1.181336636,7723.76,4362,0.52,0.0
