,INTERCONNECTORID,DIRECTION,REGIONID,BIDTYPE,LOSSSEGMENT,MWBREAKPOINT,INDEX,MEANVALUE,UPPERBOUND,LHSCOEFFICIENTS,RHSCONSTANT,ROWINDEX,FROMREGIONLOSSSHARE,DISPATCHED
0,N-Q-MNSP1,REGIONFROM,NSW1,ENERGY,34,0,1940,0.0,0.0,-1.0530920000000001,8634.0,4445,0.52,0.0
1,N-Q-MNSP1,REGIONTO,QLD1,ENERGY,34,0,1940,0.0,0.0,0.950992,7487.84,4446,0.52,0.0
2,N-Q-MNSP1,REGIONFROM,NSW1,ENERGY,35,9,1941,4.5,9.0,-1.058024486,8634.0,4445,0.52,0.0
3,N-Q-MNSP1,REGIONTO,QLD1,ENERGY,35,9,1941,4.5,9.0,0.946438936,7487.84,4446,0.52,0.0
4,N-Q-MNSP1,REGIONFROM,NSW1,ENERGY,36,17,1942,13.0,8.0,-1.067341404,8634.0,4445,0.52,0.0
5,N-Q-MNSP1,REGIONTO,QLD1,ENERGY,36,17,1942,13.0,8.0,0.937838704,7487.84,4446,0.52,0.0
6,N-Q-MNSP1,REGIONFROM,NSW1,ENERGY,37,25,1943,21.0,8.0,-1.076110268,8634.0,4445,0.52,0.0
7,N-Q-MNSP1,REGIONTO,QLD1,ENERGY,37,25,1943,21.0,8.0,0.9297443679999999,7487.84,4446,0.52,0.0
8,N-Q-MNSP1,REGIONFROM,NSW1,ENERGY,38,33,1944,29.0,8.0,-1.084879132,8634.0,4445,0.52,0.0
9,N-Q-MNSP1,REGIONTO,QLD1,ENERGY,38,33,1944,29.0,8.0,0.921650032,7487.84,4446,0.52,0.0
10,N-Q-MNSP1,REGIONFROM,NSW1,ENERGY,39,41,1945,37.0,8.0,-1.093647996,8634.0,4445,0.52,0.0
11,N-Q-MNSP1,REGIONTO,QLD1,ENERGY,39,41,1945,37.0,8.0,0.913555696,7487.84,4446,0.52,0.0
12,N-Q-MNSP1,REGIONFROM,NSW1,ENERGY,40,49,1946,45.0,8.0,-1.10241686,8634.0,4445,0.52,0.0
13,N-Q-MNSP1,REGIONTO,QLD1,ENERGY,40,49,1946,45.0,8.0,0.90546136,7487.84,4446,0.52,0.0
14,N-Q-MNSP1,REGIONFROM,NSW1,ENERGY,41,57,1947,53.0,8.0,-1.111185724,8634.0,4445,0.52,0.0
15,N-Q-MNSP1,REGIONTO,QLD1,ENERGY,41,57,1947,53.0,8.0,0.897367024,7487.84,4446,0.52,0.0
16,N-Q-MNSP1,REGIONFROM,NSW1,ENERGY,42,65,1948,61.0,8.0,-1.119954588,8634.0,4445,0.52,0.0
17,N-Q-MNSP1,REGIONTO,QLD1,ENERGY,42,65,1948,61.0,8.0,0.889272688,7487.84,4446,0.52,0.0
18,N-Q-MNSP1,REGIONFROM,NSW1,ENERGY,43,73,1949,69.0,8.0,-1.128723452,8634.0,4445,0.52,0.0
19,N-Q-MNSP1,REGIONTO,QLD1,ENERGY,43,73,1949,69.0,8.0,0.881178352,7487.84,4446,0.52,0.0
20,N-Q-MNSP1,REGIONFROM,NSW1,ENERGY,44,81,1950,77.0,8.0,-1.1374923160000001,8634.0,4445,0.52,0.0
21,N-Q-MNSP1,REGIONTO,QLD1,ENERGY,44,81,1950,77.0,8.0,0.873084016,7487.84,4446,0.52,0.0
22,N-Q-MNSP1,REGIONFROM,NSW1,ENERGY,45,89,1951,85.0,8.0,-1.14626118,8634.0,4445,0.52,0.0
23,N-Q-MNSP1,REGIONTO,QLD1,ENERGY,45,89,1951,85.0,8.0,0.86498968,7487.84,4446,0.52,0.0
